County,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Appling,8400,9110,8950,9215,9045,9124,9102,8650,7582,8540,8681,8784,8832,8809,8450,8095,7971,9239,7735,8690
Atkinson,2803,3265,3336,3642,3664,3593,3686,3674,3656,1715,3978,4014,4304,4385,4622,4445,4593,4312,3277,3308
Bacon,5534,5876,5743,6275,6744,6873,7345,7040,7241,6992,7176,7287,7182,7124,5524,6754,6530,6515,5065,5273
Baker,1060,843,784,919,893,1060,962,937,1107,1123,1069,1220,1524,1487,1544,1444,1561,1715,1283,1516
Baldwin,19406,18781,13677,17259,17118,20132,18668,20771,20794,20187,20916,21372,22229,23512,24858,22695,24645,24133,18776,19261
Banks,5579,6664,5820,7398,7107,7289,7385,7659,7218,6987,7769,7597,8663,8873,9195,8861,8257,8520,6461,6521
Barrow,19635,22343,21624,23108,24459,26246,26868,28960,29748,29592,32523,31421,33026,36196,35274,37473,33491,34928,28399,31503
Bartow,38766,41563,42740,44535,44148,44165,47186,48662,50142,49096,52597,48887,52060,55848,58933,57736,56578,57092,43813,47212
Ben Hill,6964,8269,8501,9201,9403,10146,9882,8776,9055,7320,8828,10719,11962,12323,12881,12257,12414,12807,9447,9339
Berrien,8005,8648,8977,9781,9989,10379,10701,10780,10987,10663,11894,8093,9987,8735,10553,11241,12304,12234,9505,11532
Bibb,48417,49313,56343,58068,58179,52426,49578,56496,60208,64267,71881,73271,77428,81668,85566,92576,92637,96526,77388,78786
Bleckley,5305,5170,5447,5026,5830,5989,6295,6096,5486,5290,4647,4536,4589,5122,4962,5327,5528,5141,4348,5206
Brantley,4845,5251,5530,5818,5744,5903,6309,7109,7678,8045,9183,9183,8515,8554,8651,8311,8647,8737,6938,7115
Brooks,7880,9116,9098,9686,8673,8003,6581,6919,7532,7632,8421,10262,10175,10282,10368,10334,11042,11031,9105,10184
Bryan,6480,6851,7307,7964,8410,9137,9272,9919,9566,9389,10008,9895,9672,9908,9845,10268,12374,13042,10668,11926
Bulloch,19532,21663,22568,24712,25391,27140,26739,27897,27336,25717,26160,26264,29742,30671,31697,32434,34072,35957,29301,33741
Burke,10241,11010,5008,9747,11752,11801,11760,12218,11232,11294,11116,10131,9261,11203,10715,10069,9880,9881,8547,9959
Butts,6088,8317,8147,8843,9258,10111,10791,10615,8213,12543,12350,12422,13410,14021,13571,13327,13637,14558,11615,12512
Calhoun,2416,1548,2138,2462,2485,3018,3450,3493,3736,3637,3502,2051,1764,1994,1961,1849,2107,2101,1739,1926
Camden,17116,19087,15064,22089,23504,24946,25474,29062,29048,26214,28795,27875,25155,25679,24092,25630,24730,24375,18947,19582
Candler,3893,5809,6205,6573,6946,6789,5986,6945,6007,5748,5481,1854,6918,7382,7219,6766,6974,6311,5303,5888
Carroll,42978,44648,45435,52151,54186,53981,54198,56608,58780,59958,64833,62355,64220,68234,70461,70374,66603,70780,56419,63985
Catoosa,10867,11258,10660,10123,10196,1948,10408,11536,11580,11835,11439,11451,9581,8463,7475,7882,7636,7589,4511,6797
Charlton,3757,5111,5211,4997,4975,5348,3247,6217,5648,5771,5647,3534,3515,3425,3320,3530,3453,3438,2679,2647
Chatham,88351,91277,96064,101664,107747,114304,113741,123637,119142,117873,127315,129617,126555,123429,117680,122644,149147,151972,117285,132299
Chattahoochee,1599,1495,1414,1428,1323,1095,1146,1359,1448,1505,1447,1542,1476,1480,1515,1623,1547,1662,1307,1600
Chattooga,10317,10413,9496,9872,9745,9040,9360,10189,10750,11330,12122,11660,11598,11434,11720,11543,10745,10710,8091,9100
Cherokee,38272,41061,43201,45323,47969,48473,49708,52618,52636,55164,59739,56919,59177,61304,63326,65571,65680,63869,51023,55823
Clarke,17861,32290,31283,37239,35762,37261,37517,39319,39620,38953,43535,47226,47238,49357,50936,52123,50199,49898,40890,45541
Clay,710,679,645,625,719,735,632,586,624,802,861,667,598,712,844,753,733,666,571,512
Clayton,65376,70261,72392,77872,83381,83214,85120,90617,92138,98302,107869,97884,101767,99644,106411,113501,112169,115198,92866,96860
Clinch,3918,3955,4090,4817,4404,2550,3114,3096,2914,5693,6121,5967,6274,6056,5815,5298,4960,5413,4511,4899
Cobb,156012,162667,155956,163509,160496,156158,164179,179160,183021,186987,201868,201421,200295,201801,209421,204449,202884,201295,152858,173854
Coffee,15875,17631,17934,20626,20322,20021,21873,22756,22110,7758,24029,24342,25245,25800,26071,25213,25313,25018,18655,17771
Colquitt,18915,20809,21453,23172,21642,21807,23944,23813,24830,26331,25812,24563,20839,25200,24593,21702,27914,29097,22137,23173
Columbia,21723,23139,21702,23735,24299,22262,24550,25875,27646,27634,30152,29858,30274,31688,32507,32680,32873,33690,26935,31095
Cook,7605,8730,8542,8932,10444,8810,9131,9742,9839,10308,11925,10781,6404,3884,8803,6252,6195,6374,5109,6028
Coweta,30683,20579,28349,30255,32946,31668,31913,35638,37678,38613,45961,31064,44716,46198,48988,46184,46380,48159,37800,41602
Crawford,3216,3363,3552,3540,3680,4232,3929,4701,4829,4726,4679,4772,4888,4893,5245,5700,5370,5364,3992,4002
Crisp,11223,10695,11176,9870,8787,9113,9315,8978,9289,9192,10176,10647,12067,13083,12812,12698,13006,13001,9843,9165
Dade,1665,1502,1502,1497,1426,61,1334,1375,1297,1326,1150,993,816,700,520,566,397,420,304,467
Dawson,4331,5173,5468,6006,5960,6441,6648,6924,6493,7181,8103,7181,7181,7505,7783,7773,7553,7853,6593,7299
Decatur,12224,11515,10813,12567,13593,13739,13709,13823,13130,14693,16816,15635,16176,15620,14438,15009,15835,16140,12722,14243
DeKalb,161903,174297,182601,203581,207112,189549,194811,207553,208297,217890,233578,223839,232670,237812,254327,265589,264359,272215,201200,219415
Dodge,10696,10468,10906,12883,13116,12845,11245,11547,10759,10390,10440,8316,9491,9869,9404,9177,9621,9881,7688,8292
Dooly,4191,4293,4678,4360,4005,4059,4169,4114,4187,3791,3844,4042,4494,4631,4791,4732,4792,4694,3449,3638
Dougherty,45093,38650,37723,37207,36190,37088,44808,50235,55866,56071,49073,56587,60213,54368,32798,27182,30374,40862,30365,31056
Douglas,34567,36381,36969,39427,42714,44479,47604,56164,57091,58901,65360,64441,67268,68761,70258,69688,69765,72232,53709,60564
Early,6006,6275,6251,6854,7019,7439,5026,4449,4443,6914,6437,4223,3367,5072,5931,5560,5304,4235,4268,4653
