GEOID,county,week,cases,pop,county1,week1
19001,1,1,0,7477,1,1
19001,1,2,0,7477,1,2
19001,1,3,0,7477,1,3
19001,1,4,0,7477,1,4
19001,1,5,0,7477,1,5
19001,1,6,0,7477,1,6
19001,1,7,1,7477,1,7
19001,1,8,0,7477,1,8
19001,1,9,0,7477,1,9
19001,1,10,0,7477,1,10
19001,1,11,0,7477,1,11
19001,1,12,0,7477,1,12
19001,1,13,0,7477,1,13
19001,1,14,2,7477,1,14
19001,1,15,1,7477,1,15
19001,1,16,2,7477,1,16
19001,1,17,2,7477,1,17
19001,1,18,1,7477,1,18
19001,1,19,1,7477,1,19
19001,1,20,2,7477,1,20
19001,1,21,2,7477,1,21
19001,1,22,1,7477,1,22
19001,1,23,1,7477,1,23
19001,1,24,2,7477,1,24
19001,1,25,2,7477,1,25
19001,1,26,0,7477,1,26
19001,1,27,3,7477,1,27
19001,1,28,12,7477,1,28
19001,1,29,7,7477,1,29
19001,1,30,1,7477,1,30
19001,1,31,6,7477,1,31
19001,1,32,5,7477,1,32
19001,1,33,5,7477,1,33
19001,1,34,10,7477,1,34
19001,1,35,7,7477,1,35
19001,1,36,9,7477,1,36
19001,1,37,24,7477,1,37
19001,1,38,40,7477,1,38
19001,1,39,46,7477,1,39
19001,1,40,59,7477,1,40
19001,1,41,52,7477,1,41
19001,1,42,72,7477,1,42
19001,1,43,44,7477,1,43
19001,1,44,27,7477,1,44
19001,1,45,51,7477,1,45
19001,1,46,26,7477,1,46
19001,1,47,35,7477,1,47
19001,1,48,42,7477,1,48
19001,1,49,36,7477,1,49
19001,1,50,36,7477,1,50
19001,1,51,16,7477,1,51
19001,1,52,8,7477,1,52
19001,1,53,18,7477,1,53
19001,1,54,38,7477,1,54
19001,1,55,32,7477,1,55
19001,1,56,19,7477,1,56
19001,1,57,4,7477,1,57
19001,1,58,10,7477,1,58
19001,1,59,11,7477,1,59
19001,1,60,4,7477,1,60
19001,1,61,2,7477,1,61
19001,1,62,2,7477,1,62
19001,1,63,4,7477,1,63
19001,1,64,5,7477,1,64
19001,1,65,12,7477,1,65
19001,1,66,2,7477,1,66
19001,1,67,3,7477,1,67
19001,1,68,4,7477,1,68
19001,1,69,2,7477,1,69
19001,1,70,1,7477,1,70
19001,1,71,1,7477,1,71
19001,1,72,0,7477,1,72
19001,1,73,3,7477,1,73
19001,1,74,0,7477,1,74
19001,1,75,8,7477,1,75
19001,1,76,4,7477,1,76
19001,1,77,8,7477,1,77
19001,1,78,5,7477,1,78
19001,1,79,6,7477,1,79
19001,1,80,4,7477,1,80
19001,1,81,4,7477,1,81
19001,1,82,3,7477,1,82
19001,1,83,9,7477,1,83
19001,1,84,10,7477,1,84
19001,1,85,16,7477,1,85
19001,1,86,24,7477,1,86
19001,1,87,12,7477,1,87
19001,1,88,20,7477,1,88
19001,1,89,27,7477,1,89
19001,1,90,17,7477,1,90
19001,1,91,9,7477,1,91
19001,1,92,11,7477,1,92
19001,1,93,16,7477,1,93
19001,1,94,22,7477,1,94
19001,1,95,37,7477,1,95
19001,1,96,37,7477,1,96
19001,1,97,34,7477,1,97
19001,1,98,41,7477,1,98
19001,1,99,45,7477,1,99
19001,1,100,22,7477,1,100
19001,1,101,36,7477,1,101
19001,1,102,23,7477,1,102
19001,1,103,48,7477,1,103
19001,1,104,43,7477,1,104
19001,1,105,48,7477,1,105
19001,1,106,25,7477,1,106
19001,1,107,0,7477,1,107
19001,1,108,21,7477,1,108
19001,1,109,6,7477,1,109
19001,1,110,4,7477,1,110
19001,1,111,2,7477,1,111
19001,1,112,0,7477,1,112
19001,1,113,0,7477,1,113
19001,1,114,0,7477,1,114
19001,1,115,0,7477,1,115
19001,1,116,0,7477,1,116
19001,1,117,4,7477,1,117
19001,1,118,1,7477,1,118
19001,1,119,0,7477,1,119
19001,1,120,2,7477,1,120
19001,1,121,1,7477,1,121
19001,1,122,0,7477,1,122
19001,1,123,3,7477,1,123
19001,1,124,3,7477,1,124
19001,1,125,4,7477,1,125
19001,1,126,11,7477,1,126
19003,2,1,0,3697,2,1
19003,2,2,0,3697,2,2
19003,2,3,0,3697,2,3
19003,2,4,0,3697,2,4
19003,2,5,0,3697,2,5
19003,2,6,0,3697,2,6
19003,2,7,0,3697,2,7
19003,2,8,0,3697,2,8
19003,2,9,0,3697,2,9
19003,2,10,0,3697,2,10
19003,2,11,0,3697,2,11
19003,2,12,0,3697,2,12
19003,2,13,0,3697,2,13
19003,2,14,0,3697,2,14
19003,2,15,0,3697,2,15
19003,2,16,3,3697,2,16
19003,2,17,4,3697,2,17
19003,2,18,0,3697,2,18
19003,2,19,0,3697,2,19
19003,2,20,0,3697,2,20
19003,2,21,0,3697,2,21
19003,2,22,1,3697,2,22
19003,2,23,0,3697,2,23
19003,2,24,2,3697,2,24
19003,2,25,2,3697,2,25
19003,2,26,3,3697,2,26
19003,2,27,1,3697,2,27
19003,2,28,1,3697,2,28
19003,2,29,1,3697,2,29
19003,2,30,2,3697,2,30
19003,2,31,2,3697,2,31
19003,2,32,1,3697,2,32
