County,P2020July1,P2021July1
".Adair County, Iowa",7477,7541
".Adams County, Iowa",3697,3641
".Allamakee County, Iowa",14067,13926
".Appanoose County, Iowa",12282,12257
".Audubon County, Iowa",5671,5635
".Benton County, Iowa",25536,25691
".Black Hawk County, Iowa",130980,130368
".Boone County, Iowa",26691,26723
".Bremer County, Iowa",24974,25081
".Buchanan County, Iowa",20586,20657
".Buena Vista County, Iowa",20776,20771
".Butler County, Iowa",14311,14332
".Calhoun County, Iowa",9886,9915
".Carroll County, Iowa",20702,20692
".Cass County, Iowa",13104,13050
".Cedar County, Iowa",18495,18410
".Cerro Gordo County, Iowa",42965,42706
".Cherokee County, Iowa",11632,11503
".Chickasaw County, Iowa",11970,11887
".Clarke County, Iowa",9726,9785
".Clay County, Iowa",16333,16440
".Clayton County, Iowa",16996,16998
".Clinton County, Iowa",46418,46463
".Crawford County, Iowa",16453,16193
".Dallas County, Iowa",100486,103796
".Davis County, Iowa",9109,9138
".Decatur County, Iowa",7610,7659
".Delaware County, Iowa",17458,17510
".Des Moines County, Iowa",38831,38491
".Dickinson County, Iowa",17747,17851
".Dubuque County, Iowa",99229,98718
".Emmet County, Iowa",9332,9321
".Fayette County, Iowa",19399,19258
".Floyd County, Iowa",15552,15413
".Franklin County, Iowa",9983,9952
".Fremont County, Iowa",6560,6567
".Greene County, Iowa",8746,8717
".Grundy County, Iowa",12312,12347
".Guthrie County, Iowa",10612,10567
".Hamilton County, Iowa",15020,14887
".Hancock County, Iowa",10757,10663
".Hardin County, Iowa",16821,16708
".Harrison County, Iowa",14546,14669
".Henry County, Iowa",20412,20387
".Howard County, Iowa",9487,9478
".Humboldt County, Iowa",9595,9634
".Ida County, Iowa",7007,6956
".Iowa County, Iowa",16679,16568
".Jackson County, Iowa",19437,19368
".Jasper County, Iowa",37802,37764
".Jefferson County, Iowa",15659,15647
".Johnson County, Iowa",152984,154748
".Jones County, Iowa",20647,20805
".Keokuk County, Iowa",9995,9914
".Kossuth County, Iowa",14786,14529
".Lee County, Iowa",33512,33215
".Linn County, Iowa",230263,228939
".Louisa County, Iowa",10806,10749
".Lucas County, Iowa",8615,8710
".Lyon County, Iowa",11917,12011
".Madison County, Iowa",16626,16773
".Mahaska County, Iowa",22148,21984
".Marion County, Iowa",33377,33380
".Marshall County, Iowa",40059,39853
".Mills County, Iowa",14405,14465
".Mitchell County, Iowa",10582,10555
".Monona County, Iowa",8742,8574
".Monroe County, Iowa",7582,7610
".Montgomery County, Iowa",10335,10322
".Muscatine County, Iowa",43113,42688
".O'Brien County, Iowa",14154,14015
".Osceola County, Iowa",6189,6159
".Page County, Iowa",15180,15197
".Palo Alto County, Iowa",8961,8906
".Plymouth County, Iowa",25681,25650
".Pocahontas County, Iowa",7075,7074
".Polk County, Iowa",492769,496844
".Pottawattamie County, Iowa",93560,93304
".Poweshiek County, Iowa",18643,18586
".Ringgold County, Iowa",4639,4639
".Sac County, Iowa",9791,9752
".Scott County, Iowa",174488,174170
".Shelby County, Iowa",11699,11770
".Sioux County, Iowa",35869,35893
".Story County, Iowa",98615,99472
".Tama County, Iowa",17072,16867
".Taylor County, Iowa",5861,5868
".Union County, Iowa",12097,12018
".Van Buren County, Iowa",7204,7243
".Wapello County, Iowa",35341,35256
".Warren County, Iowa",52548,53402
".Washington County, Iowa",22511,22491
".Wayne County, Iowa",6509,6508
".Webster County, Iowa",36954,37147
".Winnebago County, Iowa",10650,10656
".Winneshiek County, Iowa",20031,19892
".Woodbury County, Iowa",105829,105607
".Worth County, Iowa",7425,7385
".Wright County, Iowa",12914,12785
